Tabf1,Tabf2,Tabf3,Tabf4,Tabf5,Tabf6,Tabf7,Tabf8,Tabf9,Tabf10,Tabf11,Tabf12,Tabf13,Tabf14,Tabf15,Tabf16,Tabf17,Tabf18,Tabf19,Tabf20,Tabf21,Tabf22,Tabf23
-686.302085438488,666.693370745881,-8.83398065798096e-53,-1.85660879000459e-49,2.85475539327516e-46,4.15246478036038e-43,-3.62439623073663e-40,-3.89887841241811e-37,2.41551423090108e-34,1.99259384844264e-31,-9.27631470618701e-29,-6.00128111539098e-26,2.0683622948964e-23,1.07439893841624e-20,-2.4221194828453e-18,-1.08903745398126e-15,6.6876207631668e-14,5.4343414241773e-11,1.92864980010175e-08,-8.77706784529682e-07,-0.00348292480897626,-0.00408802219404697,0.000653760185283624
-597.498027759428,578.728452671607,-2.05710594054393e-52,7.44428027906306e-49,2.66149095658746e-45,-1.17816350777782e-42,-3.93754699302742e-39,8.0671017238873e-37,2.57597715163677e-33,-3.1052450844959e-31,-9.33748637211508e-28,7.26301577386336e-26,2.0187513094892e-22,-1.03314007865016e-20,-2.61934359293443e-17,8.32385758290787e-16,1.90544518221887e-12,-2.98219752814232e-11,-5.35446099506781e-08,-1.28671976537814e-07,-0.00337888459634251,0.0047076826736042,0.00487494187616113
-536.173741572881,585.615995764786,9.16149985076531e-53,3.32551644361209e-49,3.35619904960448e-46,-4.7022336034348e-43,-7.96482930184446e-40,3.15039656536648e-37,6.28634991617033e-34,-1.29786492554466e-31,-2.52392171904016e-28,3.49649615277531e-26,5.73446372873466e-23,-6.1238630510042e-21,-7.34693637538361e-18,6.69461317207366e-16,4.39186669955092e-13,-4.16008544203523e-11,8.13051441668295e-09,1.05862766201753e-06,-0.00417468216078545,0.0100484201419744,1.75084249773577e-05
-586.556774217397,553.552071597409,-1.05836646311772e-51,3.58473537637994e-49,4.35054252754042e-45,4.90086702510453e-44,-5.01857031547144e-39,-4.15288809977899e-37,2.81210894970778e-33,2.83618552491107e-31,-9.01939727264223e-28,-8.8926629063049e-26,1.75532910604491e-22,1.50322480897871e-20,-2.07008837899459e-17,-1.36901682078805e-15,1.35213409989285e-12,5.92146100322632e-11,-2.52172535326257e-08,-8.66237148845479e-07,-0.00407612291390417,-0.00834028487938443,-0.0120382561300796
-545.557086464427,561.599920326897,-2.77744875398792e-52,4.03265492828009e-49,4.50836242270755e-45,-4.41073256239083e-43,-6.4680095338674e-39,1.5019191045192e-37,4.09851661710523e-33,-6.87279392846833e-34,-1.4496208112372e-27,-1.00255112230735e-26,3.08686574189944e-22,1.83539331474057e-21,-3.99075916896001e-17,-1.22208971353014e-17,2.95645794455684e-12,-2.10839432265128e-11,-9.6110966121399e-08,1.21673683830308e-06,-0.00297360342813775,-0.0122015400133785,-0.00264579123533748
-530.833871425118,525.291335107832,-7.87486754625499e-51,3.15069395477379e-48,1.95055045042645e-44,-5.05969612526536e-42,-1.81570469276613e-38,3.51131314100838e-36,8.9068461143356e-33,-1.36849151286338e-30,-2.60404410698651e-27,3.25772734357778e-25,4.75709114150028e-22,-4.82363458061554e-20,-5.43291754004067e-17,4.32111284212615e-15,3.65769196975901e-12,-2.14248927537066e-10,-1.10928716877989e-07,4.49260786418557e-06,-0.00331289000191615,-0.011047384202717,-0.0141914224015127
-518.420677728246,510.713846484073,-7.70063121692978e-51,-9.59727363443488e-49,2.3978707285099e-44,1.92680463072676e-42,-2.41707414201476e-38,-1.40499179323132e-36,1.22644254609013e-32,5.10526311194651e-31,-3.63109956074938e-27,-1.00420405938552e-25,6.63537577892755e-22,1.01659322543817e-20,-7.52683560498961e-17,-3.46839394585479e-16,5.03996459819169e-12,-1.92857413493255e-11,-1.5961462007953e-07,1.3315937832337e-06,-0.00277612985009508,0.0044501602156855,-0.0238200541231433
