Tabf1,Tabf2,Tabf3,Tabf4,Tabf5,Tabf6,Tabf7,Tabf8,Tabf9,Tabf10,Tabf11,Tabf12,Tabf13,Tabf14,Tabf15,Tabf16,Tabf17,Tabf18,Tabf19,Tabf20,Tabf21,Tabf22,Tabf23
-723.365615354077,752.437595683153,-5.62343768458966e-53,-4.08765032478684e-50,2.06746340184471e-46,9.5010087560257e-44,-3.08330849317708e-40,-9.27729371228224e-38,2.48711375702037e-34,4.94362538773538e-32,-1.20199833345393e-28,-1.5611584549345e-26,3.60192808432343e-23,2.95857810300357e-21,-6.61219490409346e-18,-3.21172314288793e-16,6.85895177109502e-13,1.70672413376793e-11,-2.69095731021048e-08,-1.96656523614408e-07,-0.00313829055092533,-0.00581439524360592,-0.00820590306108796
-756.501473849136,797.327370068951,-1.99829478302769e-53,-3.24115187543326e-51,7.62423952409872e-47,6.97375136975553e-45,-1.19959058592535e-40,-5.71108953112872e-39,1.02434547613996e-34,2.00149981314363e-33,-5.20733823976029e-29,-7.17473597756613e-29,1.61146582773391e-23,-1.67727408093344e-22,-2.92817315730757e-18,5.35580980802286e-17,2.64107896361674e-13,-6.69182395802442e-12,4.11675666740415e-10,2.8978550346448e-07,-0.00380043366558387,-0.000184582968379472,-0.0134824400185761
-820.447066085061,832.48215982538,-7.2491727219261e-54,8.70071159990632e-52,2.32276892390402e-47,-2.58529274226369e-45,-3.03685712311997e-41,3.12055033311116e-39,2.03838594325387e-35,-1.95106609873657e-33,-6.94161791840213e-30,6.58625906582441e-28,6.82100243659014e-25,-1.07769005854276e-22,3.2308991828534e-19,3.0815297203791e-18,-1.35749505760703e-13,1.47955135587774e-12,2.55248577391408e-08,-1.9655898747906e-07,-0.00411395088008071,0.00609118412512519,0.00124211036561852
-844.872496035339,844.143006765543,-4.7174237292411e-54,1.40197907446802e-52,1.46918148833299e-47,-4.79011697054738e-46,-1.80400777557623e-41,7.02981675550598e-40,1.03204880657501e-35,-5.84561023218877e-34,-1.74920669247582e-30,3.020608088483e-28,-1.12444877136851e-24,-9.74366057980448e-23,7.62143904344814e-19,1.78516976322388e-17,-2.08925030791099e-13,-1.33856848744638e-12,3.29514378661988e-08,-1.74649078957308e-09,-0.00435970807854321,-0.007649409887134,-0.00167738167790986
-853.239083275938,877.755689657869,3.61659930877385e-55,-5.13018949675019e-52,-1.76885021099471e-48,2.11614755040347e-45,3.73481207287366e-42,-3.66211396230404e-39,-4.52276061696232e-36,3.46408109414737e-33,3.5054606083921e-30,-1.95243329528644e-27,-1.83012506042161e-24,6.70135533746237e-22,6.5634863127441e-19,-1.3776957243587e-16,-1.61392516026266e-13,1.61538226479499e-11,2.7202218462125e-08,-9.39831757377305e-07,-0.00401298030034099,0.00683543804020513,0.00540275910837396
-853.670535766928,927.74122482663,1.53519428805024e-54,7.59596564126207e-53,-7.13594737454651e-48,2.47700591305545e-47,1.41084482641349e-41,-4.93617486177059e-40,-1.56259292255252e-35,7.89464948550777e-34,1.07305913467169e-29,-5.76013300533992e-28,-4.77636663381536e-24,2.26722121122538e-22,1.40230254370595e-18,-4.94233131896156e-17,-2.72729517425585e-13,5.78713052833428e-12,3.56414196804801e-08,-3.41682653776868e-07,-0.00401721139917463,-0.00276387993125815,0.0179083117922775
-903.805836558873,962.138191373068,1.99704486332402e-54,-5.05718251631434e-53,-9.4107062253815e-48,2.19330059751017e-46,1.91288496873115e-41,-3.97903394735161e-40,-2.19476316075716e-35,3.90947016930043e-34,1.56212584286656e-29,-2.25941831472441e-28,-7.14332602479137e-24,7.90603405704973e-23,2.10676217706184e-18,-1.72757754303199e-17,-3.94610686501387e-13,2.6059234007855e-12,4.63586607457689e-08,-2.82927156354277e-07,-0.0042348094366264,0.0098605590445763,0.0305956563268959
