Tabf1,Tabf2,Tabf3,Tabf4,Tabf5,Tabf6,Tabf7,Tabf8,Tabf9,Tabf10,Tabf11,Tabf12,Tabf13,Tabf14,Tabf15,Tabf16,Tabf17,Tabf18,Tabf19,Tabf20,Tabf21,Tabf22,Tabf23
-523.429611688174,544.575390538378,-6.56724414722038e-52,4.56268186873521e-48,6.36243826464183e-45,-6.17032496187467e-42,-8.44908796422693e-39,3.65252041192887e-36,5.03650332842986e-33,-1.23989586837739e-30,-1.68221348832899e-27,2.65298894774337e-25,3.40064980158834e-22,-3.68862519413116e-20,-4.2225440766577e-17,3.27863906726503e-15,3.08723129251419e-12,-1.71740443690656e-10,-1.09297032084225e-07,4.13414936919633e-06,-0.00213821095481227,-0.00415532855465376,-0.00424102009658804
-536.935465936936,564.075714244742,8.44973245521863e-52,4.14851329176191e-48,2.05220807881613e-45,-6.6155728414827e-42,-3.96991111833562e-39,4.49927543156968e-36,2.63174481002698e-33,-1.69997662859428e-30,-9.23316751747234e-28,3.89875035820308e-25,1.9196834979021e-22,-5.5627114722849e-20,-2.42420367625811e-17,4.83562533978688e-15,1.77562913284399e-12,-2.35009522146293e-10,-5.76453752148352e-08,4.88865169576604e-06,-0.0027816624524579,0.00395224863372546,-0.0183576245280079
-566.47243666799,591.443009841648,7.13625535645405e-52,1.94753001460995e-48,7.40920587901271e-46,-3.44345845740041e-42,-2.24289820308335e-39,2.58351751223618e-36,1.76057484160735e-33,-1.07395947075799e-30,-7.02608802620377e-28,2.70694037344574e-25,1.63077203927795e-22,-4.24575390455554e-20,-2.26008419679471e-17,4.0706578068249e-15,1.7788679023023e-12,-2.21360836028151e-10,-6.0887491023335e-08,5.41404326823704e-06,-0.00253257128626052,-0.00255152803049802,-0.000770873085743375
-591.474398951179,581.538642159114,3.48750546520559e-52,1.34548898865343e-48,1.20860477289457e-45,-2.4750779404274e-42,-2.36140135251777e-39,1.91696775762113e-36,1.63701336904304e-33,-8.12498500956537e-31,-5.93791388528235e-28,2.04976841761484e-25,1.24189663008545e-22,-3.13007552088871e-20,-1.50030814265374e-17,2.79707010123297e-15,9.38177843595904e-13,-1.31195590867766e-10,-1.18091351640805e-08,2.37242185203965e-06,-0.0035873423938569,-0.00516983906351681,0.0016617908208451
-573.584576243859,635.184578569731,-6.38577928849889e-53,1.73792334024592e-49,5.28749086766659e-46,-2.71282786481444e-43,-8.51124170513504e-40,1.81005013184809e-37,6.21491437827719e-34,-6.74378551195829e-32,-2.49982572927588e-28,1.54594994228316e-26,5.87654278953704e-23,-2.26779262622763e-21,-7.92893675775792e-18,2.08388711926531e-16,5.26175521785449e-13,-1.00932869281987e-11,-4.74243374826286e-10,1.90980526298011e-07,-0.0035833319470487,-0.00943871750419496,0.0010037289752435
-617.267064788343,651.821120407032,-4.52227383614628e-52,-2.17477180158569e-49,1.31645454482897e-45,3.16027249890508e-43,-1.4786580580611e-39,-1.81575751036499e-37,8.73229448185329e-34,5.16505274470421e-32,-3.01772134476752e-28,-7.3606830666377e-27,6.2766591149211e-23,4.62366768324213e-22,-7.55014339288743e-18,-1.43596121507009e-17,4.23004332769032e-13,1.86401151628752e-12,7.55389627300657e-09,-3.71428391231474e-08,-0.00369188713560361,-0.0149598635980902,-0.0259053450935337
-624.513541958917,689.318739566812,-1.35508999492277e-52,-7.5781281114967e-50,4.25253735419322e-46,1.21925830202994e-43,-5.05669395883802e-40,-8.16886046398634e-38,3.10841022610813e-34,3.06398866636232e-32,-1.09233643044611e-28,-7.57414078393419e-27,2.20987819497837e-23,1.41009376874907e-21,-2.27315014910986e-18,-2.04072767785159e-16,2.65718122073877e-14,2.01443156944527e-11,2.13672976467834e-08,-9.91051887419512e-07,-0.0035096344764858,0.00151983670151861,-0.00560366593642739
-664.513878787366,715.930757291868,5.18185416842273e-53,-3.68336260602058e-50,-1.68648611263038e-46,6.91354677432871e-44,2.3498031568551e-40,-4.97075905411271e-38,-1.83266669044743e-34,1.58359868591804e-32,8.80984867877509e-29,-1.149975142094e-27,-2.71521452019325e-23,-6.40194119547874e-22,5.4246784764617e-18,1.84956366749383e-16,-6.99358260327021e-13,-1.89348909440976e-11,5.85401192932683e-08,7.52784125215639e-07,-0.00411818735248657,-0.0124887643912638,0.00665664145256882
